phonosyll	Error	ortho	phon	lemme	cgram	genre	nombre	freqlemfilms2	freqlemlivres	freqfilms2	freqlivres	infover	nbhomogr	nbhomoph	islem	nblettres	nbphons	cvcv	p_cvcv	voisorth	voisphon	puorth	puphon	syll	nbsyll	cv-cv	orthrenv	phonrenv	orthosyll	cgramortho	deflem	defobs	old20	pld20	morphoder	nbmorph
sa		sa	sa	sa	ADJ:pos			1276.29	3732.43	1276.29	3732.43		2	6	1	2	2	CV	CV	18	30	2	2	sa	1	CV	as	as	sa	ADJ:pos,NOM			1	1	sa-:pos	2
par		par	paR	par	PRE			1753.02	3727.09	1753.02	3727.09		2	10	1	3	3	CVC	CVC	13	37	3	3	paR	1	CVC	rap	Rap	par	NOM,PRE			1	1	par	1
é-tai		était	etE	être	VER			32236.5	15085.47	2356.65	3688.99	ind:imp:3s;	2	9	0	5	3	VCVVC	VCV	5	14	0	3	e-tE	2	V-CV	tiaté	Ete	é-tait	AUX,VER	100	19	1.5	1.05	être	1
vou		vous	vu	vous	PRO:per		p	13589.7	3507.16	13589.7	3507.16		1	3	1	4	2	CVVC	CV	12	27	4	2	vu	1	CV	suov	uv	vous	PRO:per			1.25	1	vous-:per	2
co-me	EndingE	comme	kOm	comme	CON			2326.08	3429.32	2326.08	3429.32		2	3	1	5	3	CVCCV	CVC	9	19	5	3	kOm	1	CVC	emmoc	mOk	com-me	ADV,CON			1.5	1	comme	1
a-vai		avait	avE	avoir	AUX			18559.22	12800.81	395.71	3116.42	ind:imp:3s;	2	6	0	5	3	VCVVC	VCV	2	14	0	0	a-vE	2	V-CV	tiava	Eva	a-vait	AUX,VER			1.65	1	avoir	1
ses		ses	se	ses	ADJ:pos			757.68	3105.41	757.68	3105.41		3	5	1	3	2	CVC	CV	12	28	3	2	se	1	CV	ses	es	ses	ADJ:pos,NOM,PRO:pos			1	1	ses-:pos	2
y		y	i	y	PRO:per			4346.55	3086.76	4346.55	3086.76		4	8	1	1	1	V	V	25	20	1	1	i	1	V	y	i	y	NOM,PRO:per,VER,ADV			1	1	y-:per	2
que		que	k°	que	PRO:rel			4100.9	3315.95	3330.88	2975.34		2	2	1	3	2	CVV	CV	14	18	3	2	k°	1	CV	euq	°k	que	PRO:int,PRO:rel			1.2		que-:rel	2
ce		ce	s2	ce	PRO:dem	m	s	5219.1	2958.58	5219.1	2958.58		2	3	1	2	2	CV	CV	11	24	2	2	s2	1	CV	ec	2s	ce	ADJ:dem,PRO:dem			1.15	1	ce-:dem	2
a		a	a	avoir	AUX			18559.22	12800.81	6350.91	2926.69	ind:pre:3s;	3	9	0	1	1	V	V	25	20	1	1	a	1	V	a	a	a	NOM,AUX,VER			1	1	avoir	1
il		ils	il	ils	PRO:per	m	p	3075.07	2809.53	3075.07	2809.53		1	8	1	3	2	VCC	VC	1	15	3	2	il	1	VC	sli	li	ils	PRO:per			1.6	1	ils-:per	2
di		dit	di	dire	VER	m	s	5946.15	4832.5	2146.01	2601.62	ind:fut:3p;ind:pre:3s;ind:pas:3s;par:pas;	3	9	0	3	2	CVC	CV	19	28	3	2	di	1	CV	tid	id	dit	VER,ADJ,NOM	100	23	1	1	dire	1
l		l'	l	l'	PRO:per		s	3260.83	2575.41	3260.83	2575.41		4	8	1	2	1	C'	C	10	20	2	1	l	1	C	'l	l		NOM,ART:def,LIA,PRO:per			1.45	1	l'-:per	2
tu		tu	ty	tu	PRO:per		s	14661.76	2537.03	14661.76	2537.03		4	13	1	2	2	CV	CV	18	24	2	2	ty	1	CV	ut	yt	tu	VER,ADJ,NOM,PRO:per			1	1	tu-:per	2
bien		bien	bj5	bien	ADV			4213.78	2535.14	4213.78	2535.14		3	4	1	4	3	CVVC	CYV	6	10	4	3	bj5	1	CYV	neib	5jb	bien	ADJ,ADV,NOM			1.6	1.45	bien	1
ça		ça	sa	ça	PRO:dem		s	8933.66	2477.64	8933.66	2477.64		2	6	1	2	2	CV	CV	15	30	2	2	sa	1	CV	aç	as	ça	NOM,PRO:dem			1.2	1	ça-:dem	2
en		en	@	en	PRO:per			3536.55	2458.31	3536.55	2458.31		3	7	1	2	1	VC	V	9	20	2	1	@	1	V	ne	@	en	ADV,PRE,PRO:per			1.25	1	en-:per	2
ce		ce	s2	ce	ADJ:dem	m	s	2739.25	2436.55	2739.25	2436.55		2	3	1	2	2	CV	CV	11	24	2	2	s2	1	CV	ec	2s	ce	ADJ:dem,PRO:dem			1.15	1	ce-:dem	2
ou		ou	u	ou	CON			1583.95	2429.86	1583.95	2429.86		2	8	1	2	1	VV	V	20	20	2	1	u	1	V	uo	u	ou	CON,PRO:per			1	1	ou	1
le		le	l°	le	PRO:per	m	s	3300.74	2424.19	3300.74	2424.19		2	2	1	2	2	CV	CV	14	19	2	2	l°	1	CV	el	°l	le	ART:def,PRO:per			1		le-:per	2
ce-te	EndingE	cette	sEt	cette	ADJ:dem	f	s	1902.27	2320.68	1902.27	2320.68		1	6	1	5	3	CVCCV	CVC	10	32	4	3	sEt	1	CVC	ettec	tEs	cet-te	ADJ:dem			1.5	1	cette-:dem	2
mon		mon	m§	mon	ADJ:pos			3848.99	2307.97	3848.99	2307.97		2	4	1	3	2	CVC	CV	21	27	3	2	m§	1	CV	nom	§m	mon	ADJ:pos,PRO:pos			1	1	mon-:pos	2
san		sans	s@	sans	PRE			1003.44	2224.12	1003.44	2224.12		1	8	1	4	2	CVCC	CV	14	28	4	2	s@	1	CV	snas	@s	sans	PRE			1.05	1	sans	1
ai		ai	E	avoir	AUX			18559.22	12800.81	4902.1	2119.12	ind:pre:1s;	2	15	0	2	1	VV	V	17	20	0	1	E	1	V	ia	E	ai	AUX,VER			1	1	avoir	1
au		aux	o	aux	ART:def		p	835.65	1907.57	835.65	1907.57		1	16	1	3	1	VVC	V	2	20	3	1	o	1	V	xua	o	aux	ART:def			1.5	1	aux-:def	2
moi		moi	mwa	moi	PRO:per		s	3675.68	1877.57	3675.68	1877.57		2	3	1	3	3	CVV	CYV	15	17	3	3	mwa	1	CYV	iom	awm	moi	NOM,PRO:per			1.1	1	moi-:per	2
où		où	u	où	PRO:rel			2177.25	2068.11	1546.44	1767.23		2	8	1	2	1	VV	V	7	20	2	1	u	1	V	ùo	u	où	PRO:int,PRO:rel			1.6	1	où-:rel	2
a		a	a	avoir	VER			13572.4	6426.49	5498.34	1669.39	ind:pre:3s;	3	9	0	1	1	V	V	25	20	1	1	a	1	V	a	a	a	NOM,AUX,VER	93	16	1	1	avoir	1
ma		ma	ma	ma	ADJ:pos			2346.9	1667.16	2346.9	1667.16		2	5	1	2	2	CV	CV	20	30	2	2	ma	1	CV	am	am	ma	ADJ:pos,NOM			1	1	ma-:pos	2
tou		tout	tu	tout	ADV			1058.64	1639.19	1058.64	1639.19		5	10	1	4	2	CVVC	CV	9	27	4	2	tu	1	CV	tuot	ut	tout	ADJ,ADJ:ind,ADV,NOM,PRO:ind			1.25	1	tout	1
es		est	e	être	AUX			8074.24	6501.82	3318.95	1600.27	ind:pre:3s;	4	9	0	3	1	VCC	V	4	20	3	1	e	1	V	tse	e	est	ADJ,NOM,AUX,VER			1.45	1	être	1
en-co-re	EndingE	encore	@kOR	encore	ADV			1176.94	1579.05	1176.94	1579.05		1	2	1	6	4	VCCVCV	VCVC	1	10	6	4	@-kOR	2	V-CVC	erocne	ROk@	en-co-re	ADV			1.8	1.35	encore	1
deu		deux	d2	deux	ADJ:num			1009.01	1557.91	1009.01	1557.91		1	1	1	4	2	CVVC	CV	7	24	4	2	d2	1	CV	xued	2d	deux	ADJ:num			1.55	1	deux-:num	2
fai-re	EndingE	faire	fER	faire	VER			8813.48	5328.99	2735.96	1555.14	inf;;inf;;inf;;inf;;	1	5	1	5	3	CVVCV	CVC	9	28	5	3	fER	1	CVC	eriaf	REf	fai-re	VER	100	19	1.4	1	faire	1
ces		ces	se	ces	ADJ:dem		p	1222.51	1547.5	1222.51	1547.5		1	5	1	3	2	CVC	CV	9	28	3	2	se	1	CV	sec	es	ces	ADJ:dem			1.35	1	ces-:dem	2
rien		rien	Rj5	rien	PRO:ind		s	2374.91	1522.91	2374.91	1522.91		2	3	1	4	3	CVVC	CYV	8	12	4	3	Rj5	1	CYV	neir	5jR	rien	NOM,PRO:ind			1.4	1.3	rien-:ind	2
é-tai		était	etE	être	AUX			8074.24	6501.82	350.91	1497.84	ind:imp:3s;	2	9	0	5	3	VCVVC	VCV	5	14	0	3	e-tE	2	V-CV	tiaté	Ete	é-tait	AUX,VER			1.5	1.05	être	1
a-vai		avait	avE	avoir	VER			13572.4	6426.49	596.64	1496.15	ind:imp:3s;	2	6	0	5	3	VCVVC	VCV	2	14	0	0	a-vE	2	V-CV	tiava	Eva	a-vait	AUX,VER	93	16	1.65	1	avoir	1
quan		quand	k@	quand	CON			1827.92	1480.07	1827.92	1480.07		2	5	1	5	2	CVVCC	CV	1	28	5	2	k@	1	CV	dnauq	@k	quand	ADV,CON			1.95	1	quand	1
fai		fait	fE	faire	VER	m	s	8813.48	5328.99	2751.99	1459.26	ind:pre:3s;par:pas;par:pas;	3	8	0	4	2	CVVC	CV	12	28	4	2	fE	1	CV	tiaf	Ef	fait	VER,ADJ,NOM	100	19	1.1	1	faire	1
les		les	le	les	PRO:per		p	1240.75	1412.23	1240.75	1412.23		2	4	1	3	2	CVC	CV	19	29	3	2	le	1	CV	sel	el	les	ART:def,PRO:per			1	1	les-:per	2
au-si		aussi	osi	aussi	ADV			1402.33	1359.86	1402.33	1359.86		1	1	1	5	3	VVCCV	VCV	0	16	5	3	o-si	2	V-CV	issua	iso	aus-si	ADV			2	1.05	aussi	1
mê-me	EndingE	même	mEm	même	ADV			907.69	1358.65	907.69	1358.65		3	5	1	4	3	CVCV	CVC	4	18	4	3	mEm	1	CVC	emêm	mEm	mê-me	ADJ,ADV,PRO:ind			1.7	1	même	1
tem		temps	t@	temps	NOM	m	s	1031.05	1289.39	1031.05	1289.39		1	8	1	5	2	CVCCC	CV	3	27	5	2	t@	1	CV	spmet	@t	temps	NOM	100	12	1.75	1	temps	1
la		la	la	la	PRO:per	f	s	1077.98	1242.64	1077.98	1242.64		3	7	1	2	2	CV	CV	20	31	2	2	la	1	CV	al	al	la	ART:def,NOM,PRO:per			1	1	la-:per	2
foi		fois	fwa	fois	NOM	f	p	899.25	1140	899.25	1140		1	4	1	4	3	CVVC	CYV	19	19	4	3	fwa	1	CYV	siof	awf	fois	NOM	96	25	1	1	fois	1
non		non	n§	non	ADV			4040.18	1135.81	4040.18	1135.81		4	6	1	3	2	CVC	CV	16	27	3	2	n§	1	CV	non	§n	non	ADJ,ADV,NOM,PRO:per			1	1	non	1
ja-mai		jamais	ZamE	jamais	ADV			1360.22	1122.97	1360.22	1122.97		1	1	1	6	4	CVCVVC	CVCV	2	8	6	4	Za-mE	2	CV-CV	siamaj	EmaZ	ja-mais	ADV			1.9	1.6	jamais	1
trè		très	tRE	très	ADV			1589.92	1120.81	1589.92	1120.81		1	9	1	4	3	CCVC	CCV	3	17	4	3	tRE	1	CCV	sèrt	ERt	très	ADV			1.85	1	très	1
tou-jour		toujours	tuZuR	toujours	ADV			1072.36	1093.78	1072.36	1093.78		1	1	1	8	5	CVVCVVCC	CVCVC	0	0	4	3	tu-ZuR	2	CV-CVC	sruojuot	RuZut	tou-jours	ADV			2.85	2	toujours	1
là		là	la	là	ADV			2096.53	1089.66	2096.53	1089.66		2	7	1	2	2	CV	CV	8	31	2	2	la	1	CV	àl	al	là	ADV,ONO			1.5	1	là	1
a-lor		alors	alOR	alors	ADV			1777.65	1033.78	1777.65	1033.78		1	1	1	5	4	VCVCC	VCVC	1	10	4	4	a-lOR	2	V-CVC	srola	ROla	a-lors	ADV			1.9	1.45	alors	1
sou		sous	su	sous	PRE			315.49	1032.7	315.49	1032.7		2	8	1	4	2	CVVC	CV	16	28	4	2	su	1	CV	suos	us	sous	NOM,PRE			1.05	1	sous	1
peu		peu	p2	peu	NOM	m		894.78	1023.38	894.78	1023.38		2	5	1	3	2	CVV	CV	11	24	3	2	p2	1	CV	uep	2p	peu	ADV,NOM			1	1	peu	1
mes		mes	me	mes	ADJ:pos			1102.23	1023.11	1102.23	1023.11		3	3	1	3	2	CVC	CV	12	28	3	2	me	1	CV	sem	em	mes	NOM,ADJ:pos,PRO:pos			1	1	mes-:pos	2
ver		vers	vER	vers	PRE			227.77	956.15	227.77	956.15		2	11	1	4	3	CVCC	CVC	6	22	4	3	vER	1	CVC	srev	REv	vers	NOM,PRE			1.3	1	vers	1
yeu		yeux	j2	oeil	NOM	m	p	413.04	1234.59	315.89	955.68		1	1	0	4	2	VVVC	YV	6	17	0	0	j2	1	YV	xuey	2j	yeux	NOM	100	25	1.65	1	oeil	1
si		si	si	si	CON			1374.43	933.99	1374.43	933.99		3	11	1	2	2	CV	CV	15	28	2	2	si	1	CV	is	is	si	ADV,CON,NOM			1	1	si	1
don		dont	d§	dont	PRO:rel			223.41	960.34	219.21	926.42		2	5	1	4	2	CVCC	CV	12	27	4	2	d§	1	CV	tnod	§d	dont	PRO:int,PRO:rel			1.25	1	dont-:rel	2
si		si	si	si	ADV			2107.14	924.93	2107.14	924.93		3	11	1	2	2	CV	CV	15	28	2	2	si	1	CV	is	is	si	ADV,CON,NOM			1	1	si	1
tous		tous	tus	tout	ADJ	m	p	2948.75	3171.35	910.39	916.55		2	5	0	4	3	CVVC	CVC	17	18	4	3	tus	1	CVC	suot	sut	tous	PRO:ind,ADJ	90	33	1	1	tout	1
leur		leurs	l9R	leurs	ADJ:pos			243.56	886.55	243.56	886.55		2	9	1	5	3	CVVCC	CVC	3	12	5	3	l9R	1	CVC	sruel	R9l	leurs	ADJ:pos,PRO:pos			1.65	1	leurs-:pos	2
tê-te	EndingE	tête	tEt	tête	NOM	f	s	475.87	923.45	453.13	861.49		1	5	1	4	3	CVCV	CVC	6	25	4	3	tEt	1	CVC	etêt	tEt	tê-te	NOM	96	27	1.55	1	tête	1
o-me	EndingE	homme	Om	homme	NOM	m	s	1123.55	1398.85	781.11	852.23		1	3	1	5	2	CVCCV	VC	6	14	5	2	Om	1	VC	emmoh	mO	hom-me	NOM	100	20	1.6	1	homme	1
tou		tout	tu	tout	PRO:ind	m	s	1366.45	838.04	1366.45	838.04		5	10	1	4	2	CVVC	CV	9	27	4	2	tu	1	CV	tuot	ut	tout	ADJ,ADJ:ind,ADV,NOM,PRO:ind			1.25	1	tout-:ind	2
pui		puis	p8i	puis	CON			256.19	836.42	256.19	836.42		3	5	1	4	3	CVVC	CYV	14	16	4	3	p8i	1	CYV	siup	i8p	puis	VER,ADV,CON			1	1	puis	1
vi		vie	vi	vie	NOM	f	s	1021.22	853.31	986.59	835.47		1	8	1	3	2	CVV	CV	16	27	3	2	vi	1	CV	eiv	iv	vie	NOM			1	1	vie	1
en-tre	EndingE	entre	@tR	entre	PRE			372.72	833.99	372.72	833.99		2	6	1	5	3	VCCCV	VCC	4	11	5	3	@tR	1	VCC	ertne	Rt@	en-tre	PRE,VER			1.35	1	entre	1
di-re	EndingE	dire	diR	dire	VER			5946.15	4832.5	1564.52	827.84	inf;;inf;;inf;;inf;;inf;;	2	4	1	4	3	CVCV	CVC	18	28	4	3	diR	1	CVC	erid	Rid	di-re	NOM,VER	100	23	1	1	dire	1
jour		jour	ZuR	jour	NOM	m	s	1061.92	1341.76	635.22	826.35		1	2	1	4	3	CVVC	CVC	11	18	4	3	ZuR	1	CVC	ruoj	RuZ	jour	NOM	100	17	1.3	1	jour	1
a-prè		après	apRE	après	PRE			593.92	821.55	593.92	821.55		2	4	1	5	4	VCCVC	VCCV	2	10	5	4	a-pRE	2	V-CCV	sèrpa	ERpa	a-près	ADV,PRE			1.8	1	après	1
é-té		été	ete	être	VER	m	s	32236.5	15085.47	1041.22	818.99	par:pas;	3	4	0	3	3	VCV	VCV	2	17	3	3	e-te	2	V-CV	été	ete	é-té	NOM,AUX,VER	100	19	1.7	1	être	1
tro		trop	tRo	trop	ADV			859.54	790	859.54	790		1	3	1	4	3	CCVC	CCV	5	15	4	3	tRo	1	CCV	port	oRt	trop	ADV			1.65	1	trop	1
main		main	m5	main	NOM		s	499.6	1229.39	286.62	788.72		1	4	1	4	2	CVVC	CV	13	26	4	2	m5	1	CV	niam	5m	main	NOM	95	20	1	1	main	1
t		t'	t	t'	PRO:per		s	4344.23	779.93	4344.23	779.93		2	4	1	2	1	C'	C	9	20	2	1	t	1	C	't	t		NOM,PRO:per			1.5	1	t'-:per	2
te		te	t°	te	PRO:per		s	4006.1	774.32	4006.1	774.32		1	1	1	2	2	CV	CV	13	17	2	2	t°	1	CV	et	°t	te	PRO:per			1		te-:per	2
ce-la		cela	s°la	cela	PRO:dem		s	492.56	741.82	492.56	741.82		2	2	1	4	4	CVCV	CVCV	4	11	4	4	s°-la	2	CV-CV	alec	al°s	ce-la	NOM,PRO:dem			1.75	1.55	cela-:dem	2
mè-re	EndingE	mère	mER	mère	NOM	f	s	686.79	761.28	672	737.09		1	6	1	4	3	CVCV	CVC	11	30	4	3	mER	1	CVC	erèm	REm	mè-re	NOM	100	27	1.25	1	mère	1
quel-qu		quelques	kElk	quelques	ADJ:ind		p	337.35	732.57	337.35	732.57		1	3	1	8	4	CVVCCVVC	CVCC	0	1	8	4	kElk	1	CVCC	seuqleuq	klEk	quel-ques	ADJ:ind			2.8	1.8	quelques-:ind	2
mon-de	EndingE	monde	m§d	monde	NOM	m	s	830.72	741.35	823.62	732.43		1	2	1	5	3	CVCCV	CVC	11	12	5	3	m§d	1	CVC	ednom	d§m	mon-de	NOM	96	29	1.2	1.1	monde	1
moin		moins	mw5	moins	ADV			478.75	718.18	478.75	718.18		2	2	1	5	3	CVVCC	CYV	6	9	5	3	mw5	1	CYV	sniom	5wm	moins	ADV,NOM			1.5	1.45	moins	1
voir		voir	vwaR	voir	VER			4119.43	2401.76	1401.1	716.55	inf;;	1	2	1	4	4	CVVC	CYVC	9	12	4	4	vwaR	1	CYVC	riov	Rawv	voir	VER	94	19	1.4	1.15	voir	1
son		sont	s§	être	VER			32236.5	15085.47	1449.03	713.18	ind:pre:3p;	2	5	0	4	2	CVCC	CV	12	27	0	2	s§	1	CV	tnos	§s	sont	AUX,VER	100	19	1.25	1	être	1
pè-re	EndingE	père	pER	père	NOM	m	s	895.55	723.51	879.31	708.11		1	13	1	4	3	CVCV	CVC	13	32	3	3	pER	1	CVC	erèp	REp	pè-re	NOM	100	26	1.15	1	père	1
mê-me	EndingE	même	mEm	même	ADJ		s	402.93	804.8	369.32	705.81		3	5	1	4	3	CVCV	CVC	4	18	4	3	mEm	1	CVC	emêm	mEm	mê-me	ADJ,ADV,PRO:ind	100	19	1.7	1	même	1
dé-jà		déjà	deZa	déjà	ADV			681.89	702.23	681.89	702.23		2	2	1	4	4	CVCV	CVCV	0	4	4	4	de-Za	2	CV-CV	àjéd	aZed	dé-jà	ADV,ONO			2.35	1.7	déjà	1
au-tre	EndingE	autre	otR	autre	ADJ		s	786.09	870.14	668.48	700.68		4	9	1	5	3	VVCCV	VCC	4	12	5	3	otR	1	VCC	ertua	Rto	au-tre	ADJ,ADV,NOM,PRO:ind	100	17	1.7	1	autre	1
peut-être	EndingE	peut-être	p2tEtR	peut-être	ADV			907.68	697.97	907.68	697.97		1	1	1	9	6	CVVC-VCCV	CVCVCC	0	0	4	3	p2-tEtR	2	CV-CVCC	ertê-tuep	RtEt2p	peut-être	ADV			3.95	2.55	peut-être	2
cho-se	EndingE	chose	Soz	chose	NOM	f	s	1773.62	1057.64	1321.79	695.2		1	3	1	5	3	CCVCV	CVC	4	12	5	3	Soz	1	CVC	esohc	zoS	cho-se	NOM	100	38	1.7	1.25	chose	1
va		va	va	aller	VER			9992.77	2854.93	3382.55	694.59	imp:pre:2s;ind:pre:3s;	2	3	0	2	2	CV	CV	15	29	2	2	va	1	CV	av	av	va	VER,NOM	100	17	1	1	aller	1
de-van		devant	d°v@	devant	PRE			208.19	690.34	208.19	690.34		4	5	1	6	4	CVCVCC	CVCV	4	9	6	4	d°-v@	2	CV-CV	tnaved	@v°d	de-vant	ADV,NOM,PRE,VER			1.75	1.45	devant	1
ê-tre	EndingE	être	EtR	être	AUX			8074.24	6501.82	725.09	685.47	inf;	3	8	1	4	3	VCCV	VCC	1	5	4	3	EtR	1	VCC	ertê	RtE	ê-tre	AUX,NOM,VER			1.85	1.3	être	1
